日/時,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,總和
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,2,0.5,2.5,0,0,0,0,8.5
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1.5,4.5,1,1,4.5,15.5
4,0.5,1.5,2.5,5.5,0.5,0,0.5,0,0,0.5,1,1,0.5,1,0.5,1,1.5,0.5,0.5,1,6,4,4.5,17.5,52
5,3,6.5,8,9.5,6.5,3,0.5,0,1,0,0,0,0,0,0,0,0,1.5,0.5,0,0.5,0,0,0,40.5
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1.5
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,1.5,8.5,1.5,14
8,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3.5,3,3,0.5,0,18
9,0,0.5,1.5,1,2,1,0,0.5,0,2,0.5,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0,0,10.5
10,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,3.5
11,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0.5,0,0.5,1.5,2.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1
總和,3.5,9,13,17,9,5,3,3,4.5,3,1.5,1,0.5,1,0.5,4.5,2.5,7,10,12.5,14.5,10,15,23.5,總和
